1000 332994
1 342 33
342 1 33
1 343 29
343 1 29
1 344 6
344 1 6
1 347 49
347 1 49
1 352 33
352 1 33
1 353 3
353 1 3
1 358 70
358 1 70
1 363 3
363 1 3
1 364 98
364 1 98
1 367 25
367 1 25
1 368 40
368 1 40
1 370 19
370 1 19
1 371 22
371 1 22
1 372 72
372 1 72
1 374 61
374 1 61
1 375 41
375 1 41
1 377 19
377 1 19
1 380 6
380 1 6
1 382 71
382 1 71
1 385 59
385 1 59
1 395 81
395 1 81
1 397 20
397 1 20
1 404 93
404 1 93
1 410 25
410 1 25
1 412 94
412 1 94
1 416 70
416 1 70
1 418 18
418 1 18
1 419 32
419 1 32
1 422 53
422 1 53
1 423 53
423 1 53
1 425 68
425 1 68
1 428 11
428 1 11
1 431 11
431 1 11
1 432 30
432 1 30
1 439 75
439 1 75
1 446 42
446 1 42
1 448 1
448 1 1
1 449 30
449 1 30
1 450 97
450 1 97
1 454 76
454 1 76
1 472 15
472 1 15
1 475 26
475 1 26
1 476 95
476 1 95
1 477 36
477 1 36
1 478 73
478 1 73
1 479 93
479 1 93
1 480 87
480 1 87
1 481 44
481 1 44
1 483 42
483 1 42
1 486 19
486 1 19
1 492 6
492 1 6
1 494 46
494 1 46
1 496 63
496 1 63
1 499 36
499 1 36
1 500 72
500 1 72
1 503 78
503 1 78
1 508 11
508 1 11
1 510 7
510 1 7
1 512 66
512 1 66
1 516 89
516 1 89
1 518 89
518 1 89
1 523 54
523 1 54
1 528 94
528 1 94
1 529 54
529 1 54
1 530 77
530 1 77
1 532 41
532 1 41
1 534 75
534 1 75
1 540 13
540 1 13
1 544 99
544 1 99
1 552 81
552 1 81
1 554 42
554 1 42
1 555 72
555 1 72
1 558 77
558 1 77
1 562 37
562 1 37
1 565 29
565 1 29
1 574 57
574 1 57
1 575 68
575 1 68
1 579 46
579 1 46
1 581 13
581 1 13
1 583 77
583 1 77
1 589 72
589 1 72
1 594 16
594 1 16
1 595 17
595 1 17
1 597 94
597 1 94
1 608 42
608 1 42
1 610 51
610 1 51
1 613 55
613 1 55
1 619 35
619 1 35
1 623 4
623 1 4
1 625 32
625 1 32
1 627 42
627 1 42
1 628 81
628 1 81
1 629 83
629 1 83
1 630 93
630 1 93
1 631 56
631 1 56
1 636 46
636 1 46
1 638 71
638 1 71
1 640 14
640 1 14
1 642 12
642 1 12
1 644 81
644 1 81
1 655 87
655 1 87
1 656 72
656 1 72
1 662 22
662 1 22
1 664 55
664 1 55
1 666 90
666 1 90
1 677 13
677 1 13
1 678 81
678 1 81
1 681 98
681 1 98
1 682 68
682 1 68
1 683 98
683 1 98
1 686 11
686 1 11
1 689 59
689 1 59
1 691 52
691 1 52
1 692 25
692 1 25
1 694 4
694 1 4
1 697 99
697 1 99
1 699 98
699 1 98
1 702 67
702 1 67
1 710 71
710 1 71
1 714 94
714 1 94
1 718 38
718 1 38
1 721 48
721 1 48
1 722 30
722 1 30
1 727 67
727 1 67
1 729 99
729 1 99
1 731 100
731 1 100
1 732 53
732 1 53
1 733 23
733 1 23
1 735 36
735 1 36
1 747 97
747 1 97
1 753 27
753 1 27
1 755 33
755 1 33
1 756 25
756 1 25
1 758 95
758 1 95
1 761 63
761 1 63
1 763 64
763 1 64
1 764 58
764 1 58
1 766 30
766 1 30
1 768 56
768 1 56
1 769 69
769 1 69
1 774 5
774 1 5
1 776 99
776 1 99
1 786 54
786 1 54
1 791 7
791 1 7
1 793 34
793 1 34
1 799 68
799 1 68
1 800 27
800 1 27
1 809 65
809 1 65
1 810 9
810 1 9
1 816 17
816 1 17
1 824 58
824 1 58
1 826 35
826 1 35
1 834 48
834 1 48
1 836 56
836 1 56
1 849 26
849 1 26
1 850 69
850 1 69
1 853 7
853 1 7
1 857 87
857 1 87
1 858 8
858 1 8
1 860 89
860 1 89
1 862 51
862 1 51
1 863 28
863 1 28
1 865 11
865 1 11
1 866 48
866 1 48
1 868 6
868 1 6
1 869 85
869 1 85
1 871 56
871 1 56
1 872 75
872 1 75
1 875 9
875 1 9
1 879 72
879 1 72
1 880 91
880 1 91
1 883 58
883 1 58
1 888 79
888 1 79
1 889 13
889 1 13
1 892 71
892 1 71
1 902 28
902 1 28
1 905 81
905 1 81
1 906 11
906 1 11
1 907 34
907 1 34
1 908 45
908 1 45
1 909 85
909 1 85
1 914 67
914 1 67
1 916 13
916 1 13
1 918 68
918 1 68
1 919 29
919 1 29
1 920 93
920 1 93
1 923 74
923 1 74
1 925 44
925 1 44
1 929 58
929 1 58
1 932 79
932 1 79
1 934 28
934 1 28
1 941 77
941 1 77
1 943 58
943 1 58
1 948 28
948 1 28
1 950 79
950 1 79
1 956 2
956 1 2
1 957 7
957 1 7
1 959 72
959 1 72
1 960 37
960 1 37
1 966 73
966 1 73
1 970 10
970 1 10
1 973 1
973 1 1
1 974 73
974 1 73
1 976 6
976 1 6
1 977 8
977 1 8
1 984 32
984 1 32
1 985 8
985 1 8
1 989 15
989 1 15
1 991 12
991 1 12
1 993 13
993 1 13
1 997 10
997 1 10
2 3 99
3 2 99
2 8 100
8 2 100
2 11 7
11 2 7
2 12 95
12 2 95
2 13 2
13 2 2
2 15 74
15 2 74
2 16 83
16 2 83
2 19 2
19 2 2
2 20 77
20 2 77
2 25 83
25 2 83
2 26 81
26 2 81
2 29 4
29 2 4
2 31 42
31 2 42
2 34 29
34 2 29
2 35 12
35 2 12
2 36 12
36 2 12
2 42 81
42 2 81
2 43 84
43 2 84
2 47 59
47 2 59
2 51 86
51 2 86
2 54 46
54 2 46
2 57 68
57 2 68
2 61 20
61 2 20
2 62 51
62 2 51
2 63 6
63 2 6
2 71 40
71 2 40
2 75 72
75 2 72
2 76 92
76 2 92
2 83 14
83 2 14
2 87 53
87 2 53
2 88 42
88 2 42
2 89 68
89 2 68
2 90 48
90 2 48
2 92 63
92 2 63
2 93 24
93 2 24
2 94 69
94 2 69
2 101 43
101 2 43
2 104 94
104 2 94
2 108 82
108 2 82
2 115 43
115 2 43
2 121 70
121 2 70
2 122 25
122 2 25
2 123 72
123 2 72
2 126 42
126 2 42
2 127 23
127 2 23
2 130 99
130 2 99
2 136 43
136 2 43
2 139 77
139 2 77
2 145 100
145 2 100
2 149 95
149 2 95
2 150 61
150 2 61
2 154 84
154 2 84
2 157 16
157 2 16
2 158 75
158 2 75
2 161 87
161 2 87
2 166 88
166 2 88
2 167 49
167 2 49
2 168 43
168 2 43
2 170 2
170 2 2
2 172 45
172 2 45
2 173 99
173 2 99
2 175 18
175 2 18
2 179 95
179 2 95
2 180 31
180 2 31
2 183 56
183 2 56
2 184 35
184 2 35
2 185 33
185 2 33
2 187 11
187 2 11
2 193 98
193 2 98
2 197 94
197 2 94
2 200 18
200 2 18
2 206 72
206 2 72
2 213 54
213 2 54
2 215 96
215 2 96
2 219 62
219 2 62
2 220 35
220 2 35
2 228 35
228 2 35
2 229 23
229 2 23
2 233 8
233 2 8
2 239 55
239 2 55
2 245 10
245 2 10
2 246 76
246 2 76
2 247 97
247 2 97
2 248 3
248 2 3
2 258 21
258 2 21
2 265 37
265 2 37
2 268 83
268 2 83
2 270 68
270 2 68
2 271 63
271 2 63
2 276 46
276 2 46
2 278 72
278 2 72
2 283 45
283 2 45
2 285 93
285 2 93
2 288 27
288 2 27
2 289 54
289 2 54
2 293 77
293 2 77
2 294 100
294 2 100
2 302 37
302 2 37
2 307 17
307 2 17
2 309 49
309 2 49
2 312 8
312 2 8
2 316 81
316 2 81
2 317 41
317 2 41
2 318 36
318 2 36
2 319 5
319 2 5
2 327 10
327 2 10
2 328 61
328 2 61
2 329 88
329 2 88
2 330 91
330 2 91
2 335 49
335 2 49
2 337 63
337 2 63
2 340 65
340 2 65
2 346 75
346 2 75
2 350 48
350 2 48
2 355 42
355 2 42
2 362 68
362 2 68
2 366 7
366 2 7
2 372 9
372 2 9
2 373 95
373 2 95
2 374 24
374 2 24
2 376 27
376 2 27
2 380 64
380 2 64
2 385 46
385 2 46
2 392 47
392 2 47
2 393 58
393 2 58
2 397 83
397 2 83
2 399 56
399 2 56
2 400 23
400 2 23
2 403 35
403 2 35
2 408 91
408 2 91
2 410 49
410 2 49
2 411 67
411 2 67
2 414 52
414 2 52
2 416 92
416 2 92
2 422 9
422 2 9
2 424 68
424 2 68
2 425 53
425 2 53
2 426 21
426 2 21
2 432 67
432 2 67
2 435 81
435 2 81
2 436 61
436 2 61
2 437 76
437 2 76
2 439 57
439 2 57
2 441 23
441 2 23
2 444 63
444 2 63
2 445 68
445 2 68
2 452 49
452 2 49
2 454 62
454 2 62
2 456 76
456 2 76
2 457 21
457 2 21
2 460 70
460 2 70
2 462 55
462 2 55
2 464 43
464 2 43
2 475 92
475 2 92
2 479 46
479 2 46
2 483 11
483 2 11
2 484 70
484 2 70
2 485 6
485 2 6
2 490 73
490 2 73
2 494 20
494 2 20
2 503 1
503 2 1
2 516 27
516 2 27
2 530 32
530 2 32
2 537 1
537 2 1
2 539 28
539 2 28
2 541 64
541 2 64
2 542 10
542 2 10
2 544 92
544 2 92
2 548 44
548 2 44
2 558 47
558 2 47
2 559 93
559 2 93
2 562 50
562 2 50
2 565 8
565 2 8
2 567 12
567 2 12
2 570 24
570 2 24
2 576 7
576 2 7
2 578 8
578 2 8
2 587 21
587 2 21
2 589 76
589 2 76
2 591 99
591 2 99
2 592 2
592 2 2
2 593 61
593 2 61
2 595 10
595 2 10
2 597 38
597 2 38
2 605 9
605 2 9
2 610 98
610 2 98
2 611 97
611 2 97
2 612 25
612 2 25
2 615 62
615 2 62
2 617 93
617 2 93
2 618 23
618 2 23
2 620 35
620 2 35
2 624 72
624 2 72
2 630 17
630 2 17
2 637 28
637 2 28
2 640 25
640 2 25
2 641 44
641 2 44
2 643 94
643 2 94
2 644 28
644 2 28
2 649 93
649 2 93
2 653 81
653 2 81
2 655 16
655 2 16
2 656 83
656 2 83
2 659 67
659 2 67
2 662 46
662 2 46
2 671 59
671 2 59
2 676 24
676 2 24
2 680 59
680 2 59
2 682 94
682 2 94
2 685 60
685 2 60
2 686 43
686 2 43
2 689 6
689 2 6
2 693 20
693 2 20
2 695 73
695 2 73
2 696 19
696 2 19
2 700 97
700 2 97
2 713 37
713 2 37
2 714 62
714 2 62
2 717 18
717 2 18
2 719 82
719 2 82
2 724 83
724 2 83
2 725 71
725 2 71
2 727 95
727 2 95
2 729 76
729 2 76
2 732 12
732 2 12
2 733 20
733 2 20
2 739 71
739 2 71
2 740 17
740 2 17
2 742 5
742 2 5
2 745 39
745 2 39
2 746 15
746 2 15
2 748 29
748 2 29
2 751 27
751 2 27
2 753 84
753 2 84
2 761 15
761 2 15
2 763 75
763 2 75
2 765 44
765 2 44
2 766 44
766 2 44
2 768 42
768 2 42
2 769 16
769 2 16
2 772 20
772 2 20
2 775 30
775 2 30
2 777 99
777 2 99
2 782 64
782 2 64
2 788 79
788 2 79
2 792 89
792 2 89
2 796 17
796 2 17
2 798 90
798 2 90
2 801 91
801 2 91
2 808 55
808 2 55
2 810 61
810 2 61
2 814 70
814 2 70
2 815 24
815 2 24
2 816 86
816 2 86
2 817 60
817 2 60
2 818 29
818 2 29
2 822 89
822 2 89
2 824 75
824 2 75
2 826 76
826 2 76
2 829 39
829 2 39
2 830 58
830 2 58
2 831 3
831 2 3
2 832 75
832 2 75
2 835 86
835 2 86
2 837 8
837 2 8
2 838 33
838 2 33
2 839 20
839 2 20
2 845 29
845 2 29
2 847 17
847 2 17
2 849 73
849 2 73
2 853 44
853 2 44
2 854 79
854 2 79
2 858 25
858 2 25
2 859 59
859 2 59
2 860 80
860 2 80
2 864 90
864 2 90
2 866 66
866 2 66
2 867 36
867 2 36
2 868 3
868 2 3
2 875 56
875 2 56
2 882 10
882 2 10
2 893 62
893 2 62
2 898 26
898 2 26
2 899 88
899 2 88
2 906 65
906 2 65
2 914 74
914 2 74
2 917 78
917 2 78
2 921 36
921 2 36
2 922 27
922 2 27
2 923 46
923 2 46
2 926 100
926 2 100
2 929 16
929 2 16
2 931 100
931 2 100
2 936 20
936 2 20
2 939 18
939 2 18
2 947 56
947 2 56
2 957 91
957 2 91
2 960 24
960 2 24
2 961 53
961 2 53
2 963 6
963 2 6
2 964 58
964 2 58
2 965 79
965 2 79
2 967 94
967 2 94
2 969 10
969 2 10
2 977 53
977 2 53
2 986 38
986 2 38
2 987 26
987 2 26
2 988 98
988 2 98
2 993 43
993 2 43
2 994 6
994 2 6
3 6 58
6 3 58
3 7 98
7 3 98
3 11 17
11 3 17
3 17 17
17 3 17
3 18 86
18 3 86
3 23 34
23 3 34
3 26 79
26 3 79
3 27 93
27 3 93
3 29 32
29 3 32
3 30 57
30 3 57
3 33 89
33 3 89
3 39 43
39 3 43
3 42 1
42 3 1
3 45 38
45 3 38
3 46 65
46 3 65
3 50 8
50 3 8
3 57 42
57 3 42
3 59 20
59 3 20
3 61 66
61 3 66
3 63 2
63 3 2
3 64 90
64 3 90
3 70 6
70 3 6
3 71 84
71 3 84
3 74 5
74 3 5
3 75 16
75 3 16
3 78 68
78 3 68
3 80 36
80 3 36
3 81 26
81 3 26
3 82 66
82 3 66
3 83 64
83 3 64
3 89 80
89 3 80
3 90 91
90 3 91
3 92 97
92 3 97
3 105 18
105 3 18
3 110 62
110 3 62
3 113 83
113 3 83
3 117 97
117 3 97
3 120 96
120 3 96
3 121 6
121 3 6
3 123 20
123 3 20
3 124 67
124 3 67
3 125 10
125 3 10
3 127 59
127 3 59
3 128 79
128 3 79
3 130 94
130 3 94
3 131 93
131 3 93
3 139 99
139 3 99
3 148 96
148 3 96
3 150 88
150 3 88
3 151 99
151 3 99
3 158 97
158 3 97
3 160 3
160 3 3
3 168 8
168 3 8
3 170 83
170 3 83
3 171 16
171 3 16
3 172 19
172 3 19
3 173 70
173 3 70
3 174 80
174 3 80
3 178 8
178 3 8
3 180 78
180 3 78
3 184 72
184 3 72
3 191 77
191 3 77
3 195 26
195 3 26
3 196 44
196 3 44
3 197 61
197 3 61
3 198 72
198 3 72
3 200 76
200 3 76
3 204 93
204 3 93
3 205 87
205 3 87
3 208 99
208 3 99
3 209 42
209 3 42
3 210 95
210 3 95
3 211 74
211 3 74
3 214 21
214 3 21
3 223 4
223 3 4
3 225 16
225 3 16
3 226 61
226 3 61
3 227 71
227 3 71
3 229 91
229 3 91
3 230 12
230 3 12
3 237 67
237 3 67
3 238 25
238 3 25
3 240 80
240 3 80
3 241 30
241 3 30
3 244 37
244 3 37
3 248 48
248 3 48
3 251 46
251 3 46
3 253 41
253 3 41
3 258 23
258 3 23
3 262 10
262 3 10
3 263 3
263 3 3
3 265 73
265 3 73
3 272 24
272 3 24
3 274 70
274 3 70
3 275 67
275 3 67
3 276 11
276 3 11
3 279 17
279 3 17
3 280 68
280 3 68
3 288 65
288 3 65
3 292 43
292 3 43
3 300 32
300 3 32
3 301 80
301 3 80
3 302 75
302 3 75
3 312 19
312 3 19
3 314 85
314 3 85
3 315 82
315 3 82
3 316 52
316 3 52
3 318 21
318 3 21
3 320 100
320 3 100
3 327 20
327 3 20
3 329 91
329 3 91
3 332 61
332 3 61
3 333 89
333 3 89
3 337 76
337 3 76
3 344 98
344 3 98
3 348 83
348 3 83
3 354 20
354 3 20
3 357 45
357 3 45
3 359 17
359 3 17
3 361 36
361 3 36
3 362 18
362 3 18
3 366 50
366 3 50
3 369 41
369 3 41
3 371 35
371 3 35
3 372 27
372 3 27
3 373 77
373 3 77
3 375 26
375 3 26
3 378 42
378 3 42
3 379 60
379 3 60
3 386 51
386 3 51
3 389 92
389 3 92
3 393 85
393 3 85
3 394 32
394 3 32
3 402 82
402 3 82
3 408 67
408 3 67
3 409 6
409 3 6
3 414 68
414 3 68
3 417 96
417 3 96
3 419 17
419 3 17
3 427 72
427 3 72
3 428 46
428 3 46
3 429 92
429 3 92
3 435 21
435 3 21
3 436 50
436 3 50
3 437 50
437 3 50
3 438 17
438 3 17
3 444 45
444 3 45
3 450 20
450 3 20
3 453 53
453 3 53
3 461 33
461 3 33
3 462 93
462 3 93
3 468 34
468 3 34
3 470 66
470 3 66
3 472 58
472 3 58
3 480 91
480 3 91
3 481 45
481 3 45
3 484 22
484 3 22
3 485 12
485 3 12
3 489 82
489 3 82
3 490 57
490 3 57
3 495 76
495 3 76
3 496 47
496 3 47
3 508 21
508 3 21
3 511 58
511 3 58
3 513 9
513 3 9
3 517 86
517 3 86
3 522 40
522 3 40
3 524 43
524 3 43
3 525 79
525 3 79
3 527 18
527 3 18
3 531 25
531 3 25
3 532 9
532 3 9
3 534 19
534 3 19
3 537 86
537 3 86
3 544 93
544 3 93
3 545 59
545 3 59
3 547 54
547 3 54
3 549 58
549 3 58
3 554 13
554 3 13
3 557 88
557 3 88
3 561 79
561 3 79
3 563 58
563 3 58
3 569 46
569 3 46
3 571 52
571 3 52
3 579 19
579 3 19
3 584 46
584 3 46
3 586 92
586 3 92
3 592 23
592 3 23
3 593 55
593 3 55
3 594 3
594 3 3
3 596 63
596 3 63
3 597 6
597 3 6
3 606 87
606 3 87
3 608 23
608 3 23
3 613 6
613 3 6
3 614 21
614 3 21
3 616 40
616 3 40
3 620 77
620 3 77
3 621 69
621 3 69
3 622 34
622 3 34
3 625 45
625 3 45
3 627 94
