70 808
58 17 17
17 65 21
65 17 21
17 69 28
69 17 28
18 26 6
26 18 6
18 36 10
36 18 10
18 38 7
38 18 7
18 46 13
46 18 13
19 27 1
27 19 1
19 43 20
43 19 20
19 46 7
46 19 7
19 50 5
50 19 5
19 63 27
63 19 27
20 21 20
21 20 20
20 22 30
22 20 30
20 23 3
23 20 3
20 28 4
28 20 4
20 30 6
30 20 6
20 37 18
37 20 18
20 40 8
40 20 8
20 41 18
41 20 18
20 57 24
57 20 24
20 58 14
58 20 14
20 63 30
63 20 30
21 22 9
22 21 9
21 27 10
27 21 10
21 31 28
31 21 28
21 34 18
34 21 18
21 43 27
43 21 27
21 44 9
44 21 9
21 45 8
45 21 8
21 54 9
54 21 9
21 66 31
66 21 31
22 31 19
31 22 19
22 33 24
33 22 24
22 41 8
41 22 8
22 46 1
46 22 1
22 57 6
57 22 6
22 62 29
62 22 29
23 33 13
33 23 13
23 35 8
35 23 8
23 43 22
43 23 22
23 46 16
46 23 16
23 47 25
47 23 25
23 48 13
48 23 13
23 50 23
50 23 23
23 54 3
54 23 3
23 59 11
59 23 11
23 69 17
69 23 17
24 34 10
34 24 10
24 35 19
35 24 19
24 37 12
37 24 12
24 42 3
42 24 3
24 46 4
46 24 4
24 48 19
48 24 19
24 54 27
54 24 27
24 62 31
62 24 31
24 64 5
64 24 5
25 28 15
28 25 15
25 33 19
33 25 19
25 35 13
35 25 13
25 42 32
42 25 32
25 43 25
43 25 25
25 49 20
49 25 20
25 53 31
53 25 31
25 55 10
55 25 10
25 56 20
56 25 20
25 57 28
57 25 28
25 60 12
60 25 12
25 69 24
69 25 24
26 34 25
34 26 25
26 46 32
46 26 32
26 48 7
48 26 7
26 52 25
52 26 25
26 62 28
62 26 28
26 63 14
63 26 14
26 68 29
68 26 29
27 28 7
28 27 7
27 30 15
30 27 15
27 31 25
31 27 25
27 37 26
37 27 26
27 42 12
42 27 12
27 45 28
45 27 28
27 57 19
57 27 19
27 63 1
63 27 1
27 65 28
65 27 28
28 30 2
30 28 2
28 35 22
35 28 22
28 37 13
37 28 13
28 38 2
38 28 2
28 39 16
39 28 16
28 48 11
48 28 11
28 50 13
50 28 13
28 51 28
51 28 28
28 52 27
52 28 27
28 60 21
60 28 21
28 65 22
65 28 22
28 67 30
67 28 30
28 69 12
69 28 12
29 38 10
38 29 10
29 39 29
39 29 29
29 57 2
57 29 2
29 65 6
65 29 6
29 69 22
69 29 22
30 35 14
35 30 14
30 38 21
38 30 21
30 50 12
50 30 12
30 56 12
56 30 12
30 57 31
57 30 31
30 68 14
68 30 14
31 38 10
38 31 10
31 42 28
42 31 28
31 43 31
43 31 31
31 44 6
44 31 6
31 50 13
50 31 13
31 55 9
55 31 9
31 69 27
69 31 27
32 38 9
38 32 9
32 42 18
42 32 18
32 43 1
43 32 1
32 45 25
45 32 25
32 46 31
46 32 31
32 47 23
47 32 23
32 53 27
53 32 27
32 57 32
57 32 32
32 68 10
68 32 10
33 40 13
40 33 13
33 42 26
42 33 26
33 44 6
44 33 6
33 49 22
49 33 22
33 54 10
54 33 10
33 60 1
60 33 1
33 68 19
68 33 19
34 37 30
37 34 30
34 38 25
38 34 25
34 55 18
55 34 18
34 57 31
57 34 31
35 38 3
38 35 3
35 39 19
39 35 19
35 41 32
41 35 32
35 50 2
50 35 2
35 52 26
52 35 26
35 53 2
53 35 2
35 63 20
63 35 20
35 66 29
66 35 29
35 67 13
67 35 13
36 44 30
44 36 30
36 52 18
52 36 18
36 62 23
62 36 23
36 65 20
65 36 20
37 38 3
38 37 3
38 41 14
41 38 14
38 42 17
42 38 17
38 45 1
45 38 1
38 60 32
60 38 32
38 62 16
62 38 16
39 41 3
41 39 3
39 43 3
43 39 3
39 49 9
49 39 9
39 51 20
51 39 20
39 55 27
55 39 27
39 56 29
56 39 29
39 60 23
60 39 23
39 61 21
61 39 21
39 65 22
65 39 22
39 67 26
67 39 26
40 44 15
44 40 15
40 60 28
60 40 28
41 45 12
45 41 12
41 54 11
54 41 11
41 60 1
60 41 1
41 64 11
64 41 11
41 65 19
65 41 19
41 69 32
69 41 32
42 43 22
43 42 22
42 54 15
54 42 15
42 62 28
62 42 28
42 65 24
65 42 24
43 47 9
47 43 9
43 48 14
48 43 14
43 56 17
56 43 17
43 59 24
59 43 24
44 45 16
45 44 16
44 49 23
49 44 23
44 55 25
55 44 25
44 68 23
68 44 23
45 49 11
49 45 11
45 51 26
51 45 26
45 57 29
57 45 29
45 65 6
65 45 6
46 59 30
59 46 30
46 66 11
66 46 11
46 68 19
68 46 19
47 49 10
49 47 10
47 53 26
53 47 26
47 56 14
56 47 14
47 60 7
60 47 7
47 65 23
65 47 23
47 68 30
68 47 30
48 49 16
49 48 16
48 58 31
58 48 31
48 62 20
62 48 20
48 63 13
63 48 13
48 65 18
65 48 18
48 68 6
68 48 6
49 50 24
50 49 24
49 51 21
51 49 21
49 55 32
55 49 32
49 64 20
64 49 20
50 51 19
51 50 19
50 53 10
53 50 10
50 57 31
57 50 31
50 58 4
58 50 4
50 60 31
60 50 31
50 62 3
62 50 3
50 63 3
63 50 3
50 66 29
66 50 29
51 54 8
54 51 8
51 55 10
55 51 10
51 62 17
62 51 17
51 66 29
66 51 29
52 54 16
54 52 16
52 60 19
60 52 19
52 63 12
63 52 12
52 67 2
67 52 2
52 69 21
69 52 21
53 56 2
56 53 2
53 58 13
58 53 13
53 59 23
59 53 23
54 59 1
59 54 1
54 60 19
60 54 19
54 67 28
67 54 28
55 56 18
56 55 18
55 58 15
58 55 15
55 61 24
61 55 24
55 62 18
62 55 18
55 63 30
63 55 30
55 65 13
65 55 13
55 66 21
66 55 21
55 68 20
68 55 20
55 69 25
69 55 25
56 65 1
65 56 1
56 66 29
66 56 29
56 68 28
68 56 28
56 69 17
69 56 17
57 62 31
62 57 31
57 68 22
68 57 22
58 59 19
59 58 19
58 60 24
60 58 24
58 62 6
62 58 6
58 63 17
63 58 17
58 64 1
64 58 1
58 66 24
66 58 24
59 60 29
60 59 29
60 64 15
64 60 15
61 67 20
67 61 20
61 68 19
68 61 19
62 63 10
63 62 10
64 67 19
67 64 19
65 69 8
69 65 8
13 24
0 1 1
0 2 1
0 3 1
0 12 1
1 0 1
1 4 1
1 5 1
2 0 1
2 7 1
3 0 1
3 8 1
3 9 1
3 10 1
4 1 1
5 1 1
5 6 1
6 5 1
7 2 1
8 3 1
9 3 1
9 11 1
10 3 1
11 9 1
12 0 1
